cluster_id,centroid_lat,centroid_lon,nearest_osm_feature,distance_to_osm_m,nearest_osm_lat,nearest_osm_lon,osm_count_within_5km
-1,17.76439,82.84082,Unnamed industrial feature,6286.26,17.7936864,82.8915956,0
-1,17.88192,80.8617,Unnamed industrial feature,165.16,17.8822436,80.8601768,7
-1,17.88452,82.04754,Upper Sileru Power House,17232.44,18.0371452,82.0192773,0
-1,18.15053,80.66322,Bhadradri Thermal Power Plant,15807.79,18.0282273,80.7394614,0
-1,18.42138,83.55888,Unnamed industrial feature,3406.19,18.4472615,83.5416076,1
-1,18.70493,83.19115,Unnamed industrial feature,13733.3,18.5842841,83.1632584,0
-1,19.29114,83.4966,Unnamed industrial feature,7615.14,19.325901,83.4340763,0
-1,19.60532,82.26801,Unnamed industrial feature,9751.37,19.6695441,82.2046074,0
-1,19.6061,82.66619,Indravati Dam,28417.34,19.4269759,82.8595848,0
-1,19.6491,82.07119,Unnamed industrial feature,14154.32,19.6695441,82.2046074,0
-1,19.8045,83.50271,Unnamed industrial feature,14860.72,19.7108098,83.401442,0
-1,19.88357,82.83475,Unnamed industrial feature,31493.53,20.1397696,82.7062436,0
-1,19.88438,80.56355,Surjagarh Iron Ore Mines,35424.29,19.6279034,80.3627551,0
-1,19.89961,80.54822,Surjagarh Iron Ore Mines,35909.01,19.6279034,80.3627551,0
-1,19.9397,80.53246,Surjagarh Iron Ore Mines,38952.74,19.6279034,80.3627551,0
-1,19.94323,82.03765,Unnamed industrial feature,35088.7,19.6695441,82.2046074,0
-1,19.9931,80.62656,Unnamed industrial feature,36464.13,20.1927991,80.9035295,0
-1,20.12734,82.67582,Unnamed industrial feature,1454.42,20.1307719,82.6623773,4
-1,20.7246,81.51741,Unnamed industrial feature,3886.51,20.6913779,81.5290207,1
-1,20.78475,81.42816,Unnamed industrial feature,14758.26,20.6913779,81.5290207,0
-1,20.82351,81.75687,Unnamed industrial feature,4044.29,20.8379136,81.7211367,3
-1,20.90431,81.21528,Unnamed industrial feature,25406.15,21.1209791,81.1375952,0
-1,21.03662,81.09294,Unnamed industrial feature,8305.29,21.0807235,81.0283461,0
-1,21.07015,80.38001,Unnamed industrial feature,38923.49,21.4161674,80.3231853,0
-1,21.14365,80.76229,Unnamed industrial feature,6219.61,21.1924396,80.7329571,0
71,21.15474,81.17236199999999,Unnamed industrial feature,184.1,21.1558544,81.171049,6
