cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv
68,34,2025-10-22 20:21:00,2026-05-12 20:37:00,21.19408705882353,81.20990235294119,3115.861547334608,landuse=industrial,6.733333333333333,5.0495049504950495,1.0076470588235293,0.2855092082952674,0.2833424717466168
69,44,2025-10-23 20:02:00,2026-05-08 20:12:00,22.019743863636364,83.33772522727273,3503.407384722438,landuse=industrial,6.566666666666666,6.700507614213199,0.9586363636363636,0.4539418613992935,0.4735287316635589
70,6,2025-10-23 20:02:00,2026-01-09 20:42:00,22.024261666666664,83.30724500000001,5771.263579743481,landuse=industrial,2.6,2.3076923076923075,0.48,0.11471704319759993,0.23899383999499985
71,18,2025-10-23 20:02:00,2026-03-03 08:20:00,22.107223333333334,83.52402222222221,13498.43199443666,landuse=industrial,4.333333333333333,4.153846153846154,1.0072222222222222,0.6961812268752977,0.6911893041232962
72,19,2025-11-01 20:34:00,2026-05-08 20:12:00,21.54382210526316,81.94690947368422,26028.013674372112,landuse=industrial,6.233333333333333,3.048128342245989,1.176842105263158,0.5085715576394007,0.4321493557758771
73,88,2025-11-01 20:34:00,2026-05-29 20:19:00,22.32347818181818,82.58507170454546,6196.600151307298,landuse=industrial,6.933333333333334,12.692307692307692,1.6435227272727273,0.9555404558133187,0.5813977744006917
74,5,2025-11-03 07:27:00,2026-02-07 07:30:00,22.070204,83.434392,5117.501785238755,landuse=industrial,3.2,1.5625,7.062,2.211497230384881,0.31315452143654504
75,9,2025-11-03 19:57:00,2026-04-20 08:20:00,19.33559444444445,83.42862555555556,129134.5678920152,landuse=industrial,5.566666666666666,1.6167664670658684,1.2133333333333334,0.7233774948116647,0.5961902429766467
76,26,2025-11-09 19:44:00,2026-05-08 20:12:00,21.698489615384613,84.03165038461538,49733.74550964008,landuse=industrial,6.0,4.333333333333333,0.8603846153846154,0.23920670173271938,0.278022988156044
77,28,2025-11-09 19:44:00,2026-05-01 20:43:00,21.98614821428572,83.36544321428572,6271.923577925982,landuse=industrial,5.766666666666667,4.855491329479769,0.6892857142857143,0.25851325020025673,0.3750451298242067
78,10,2025-11-11 20:47:00,2026-03-21 20:12:00,21.574698,81.734822,15917.90374363267,power=generator,4.3,2.3255813953488373,0.7470000000000001,0.2270609316167506,0.30396376387784546
79,7,2025-11-11 20:47:00,2025-12-20 20:16:00,21.79116857142857,82.23229142857143,15267.570119886032,landuse=industrial,1.2666666666666666,5.526315789473684,0.51,0.14375905768565214,0.28188050526598457
80,10,2025-11-11 20:47:00,2026-02-10 20:42:00,22.010049,83.328632,4803.321226965882,landuse=industrial,3.0,3.333333333333333,0.49399999999999994,0.2002331973807873,0.40533035907041964
81,5,2025-10-20 20:59:00,2026-03-31 20:25:00,17.983106,80.828064,172025.69820555646,landuse=industrial,5.366666666666666,0.9316770186335404,1.61,0.7687002016391046,0.47745354139074814
82,5,2025-11-13 07:40:00,2026-02-21 08:07:00,21.156146,81.17332,5519.275597806108,landuse=industrial,3.333333333333333,1.5,2.94,2.5205852495005994,0.8573419215988434
83,11,2025-11-13 20:09:00,2026-04-11 20:18:00,22.072404545454543,83.34858272727273,2770.308151550607,landuse=industrial,4.966666666666667,2.214765100671141,0.820909090909091,1.290995387640518,1.5726411145122587
84,5,2025-11-13 20:10:00,2026-04-01 20:06:00,17.964194,83.15835799999999,162347.00162988817,landuse=industrial,4.6,1.0869565217391306,0.8240000000000001,0.23006520814760317,0.27920534969369315
85,5,2025-11-19 07:28:00,2026-01-22 07:30:00,23.375912,83.005702,89056.24517060207,man_made=works,2.1333333333333333,2.34375,4.326,0.9633431372050146,0.2226868093400404
86,16,2025-11-19 19:57:00,2026-05-19 20:06:00,21.732130625,83.823591875,27957.46621539603,landuse=industrial,6.033333333333333,2.6519337016574585,1.225625,0.4503327473472626,0.36743110441388077
