latitude,longitude,bright_ti4,scan,track,confidence,version,bright_ti5,frp,daynight,type,acq_DateTime,x_m,y_m,cluster_id,centroid_lat,centroid_lon,detection_count
19.09323,82.16925,301.88,0.4,0.44,n,2.0NRT,279.69,2.55,N,,2026-07-26 20:34:00,-8629.022793785436,2118168.731812477,19,19.099955514018692,82.16712502336449,428.0
19.09794,82.16639,300.69,0.4,0.44,n,2.0NRT,274.28,1.42,N,,2026-07-26 20:34:00,-8916.258920806926,2118699.701459285,19,19.099955514018692,82.16712502336449,428.0
21.48869,81.77155,296.31,0.52,0.42,n,2.0NRT,271.59,0.53,N,,2026-07-26 20:34:00,-42152.49140622688,2385312.791997245,5,21.487758636363637,81.76802333333333,132.0
21.67353,82.08156,308.34,0.54,0.42,n,2.0NRT,290.43,2.55,N,,2026-07-26 20:34:00,-9297.31723831885,2404778.952016519,7,21.673963649635038,82.07993664233577,137.0
21.80208,82.04137,304.47,0.53,0.42,n,2.0NRT,283.12,1.34,N,,2026-07-26 20:34:00,-13008.052921122056,2419179.2227397542,21,21.802473365384614,82.03911067307693,104.0
21.8766,83.49715,302.68,0.43,0.46,n,2.0NRT,288.81,1.27,N,,2026-07-26 20:34:00,137956.86298137857,2423295.6109687593,26,21.876680693069307,83.49505663366337,101.0
21.87937,83.55609,308.29,0.43,0.46,n,2.0NRT,289.09,2.29,N,,2026-07-26 20:34:00,144060.97699507402,2423464.7123231627,27,21.879728253012047,83.55263259036145,166.0
21.92012,83.35038,323.09,0.42,0.45,n,2.0NRT,287.2,2.54,N,,2026-07-26 20:34:00,122887.33009772503,2428473.3230727455,28,21.922739138840072,83.34776789103691,569.0
21.92421,83.35128,315.34,0.42,0.45,n,2.0NRT,287.16,2.54,N,,2026-07-26 20:34:00,122991.21170450083,2428924.475236522,28,21.922739138840072,83.34776789103691,569.0
21.92909,83.3482,305.23,0.42,0.45,n,2.0NRT,287.32,1.13,N,,2026-07-26 20:34:00,122685.54595717357,2429473.0033797696,28,21.922739138840072,83.34776789103691,569.0
21.98553,83.23338,310.48,0.41,0.45,n,2.0NRT,286.18,3.39,N,,2026-07-26 20:34:00,110963.81658470229,2436017.414613308,10,21.984956463414633,83.23297554878049,164.0
22.03837,83.35002,306.53,0.42,0.45,n,2.0NRT,275.62,1.58,N,,2026-07-26 20:34:00,123163.04999494087,2441582.0580814183,12,22.036385941422594,83.35570451882845,478.0
21.17994,81.38742,311.14,0.39,0.36,n,2.0NRT,267.46,1.06,N,,2026-07-27 20:14:00,-83300.85877786495,2352407.374887566,25,21.186994679665737,81.3881225626741,359.0
21.19245,81.41615,317.16,0.39,0.36,n,2.0NRT,264.97,1.95,N,,2026-07-27 20:14:00,-80258.87023516453,2353690.825283502,20,21.195115,81.41573296874999,64.0
21.98697,83.23443,302.37,0.62,0.54,n,2.0NRT,284.21,2.67,N,,2026-07-29 19:38:00,111076.31292490015,2436174.3763969922,10,21.984956463414633,83.23297554878049,164.0
21.48882,81.76712,299.05,0.77,0.77,n,2.0NRT,276.79,3.14,N,,2026-07-30 19:17:00,-42612.307515337016,2385342.6614826387,5,21.487758636363637,81.76802333333333,132.0
21.67924,84.03779,307.5,0.55,0.68,n,2.0NRT,282.62,2.59,N,,2026-07-30 19:17:00,193455.38005308947,2400253.105489783,29,21.679161452054796,84.03864994520548,365.0
