cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio,industrial_score,wildfire_score,label
85,9,2025-11-23 07:54:00,2026-04-04 20:49:00,23.44988888888889,80.23571,7532.486382925271,landuse=industrial,4.4,2.0454545454545454,4.326,0.9633431372050146,0.2226868093400404,8,1,0.8888888888888888,1,3,uncertain
86,10,2025-11-24 07:34:00,2026-05-25 07:25:00,21.355274,81.31679,554.073427320856,landuse=industrial,6.033333333333333,1.6574585635359116,1.225625,0.4503327473472626,0.3674311044138807,10,0,1.0,3,3,uncertain
87,16,2025-11-24 20:03:00,2026-03-23 19:34:00,21.73095875,83.823019375,2149.091077447112,landuse=industrial,3.933333333333333,4.067796610169491,3.465,0.3009152704666216,0.0868442339009008,1,15,0.0625,2,2,uncertain
88,21,2025-11-24 20:03:00,2026-03-15 20:24:00,21.98662523809524,83.36589666666666,1722.4788589374934,landuse=industrial,3.7,5.675675675675675,0.55,0.1740279123753264,0.3164143861369571,0,21,0.0,2,2,uncertain
89,61,2025-11-24 20:03:00,2026-05-24 20:12:00,22.336668852459017,82.55391639344262,2150.217818898526,landuse=industrial,6.033333333333333,10.110497237569062,4.82,1.8452425314846823,0.3828304007229631,1,60,0.0163934426229508,3,1,uncertain
90,10,2025-11-25 19:44:00,2026-03-23 19:34:00,22.186504,82.121744,7051.086775069175,landuse=industrial,3.9,2.5641025641025643,1.52,1.3125420628180515,0.8635145150118761,0,10,0.0,0,4,wildfire
91,7,2025-11-23 07:53:00,2026-04-15 20:43:00,21.74051714285714,81.48489714285714,25944.10912489762,power=plant,4.766666666666667,1.4685314685314683,0.585,0.1701260037232907,0.2908136815782748,5,2,0.7142857142857143,1,4,wildfire
92,8,2025-11-26 19:25:00,2026-02-14 19:27:00,22.06262,83.33308875,709.2126214681875,landuse=industrial,2.6666666666666665,3.0,1.6687692307692308,0.9189081627336116,0.5506502311946598,0,8,0.0,3,3,uncertain
93,8,2025-11-26 19:26:00,2026-02-15 20:49:00,21.836745,84.1304725,785.3740271844871,landuse=industrial,2.7,2.962962962962963,8.18,3.4078321554912296,0.4166053979818129,1,7,0.125,3,2,uncertain
94,17,2025-11-26 19:26:00,2026-05-03 20:05:00,21.90074823529412,83.98112117647058,424.8751098555512,landuse=industrial,5.266666666666667,3.2278481012658227,6.390000000000001,3.532908150518493,0.5528807747290286,0,17,0.0,3,2,uncertain
95,5,2025-12-03 08:06:00,2025-12-06 07:09:00,20.286056,81.829344,54467.11919902244,landuse=industrial,1.0,5.0,4.744,1.7240156611817654,0.3634097093553468,5,0,1.0,1,4,wildfire
96,7,2025-12-03 08:06:00,2026-03-15 07:55:00,21.335397142857143,82.04203142857143,16047.371293626426,landuse=industrial,3.3666666666666667,2.07920792079208,1.058888888888889,0.984365360726744,0.9296210122288244,7,0,1.0,0,5,wildfire
97,6,2025-12-03 08:06:00,2026-05-23 08:02:00,21.5696,81.39303666666667,8278.3865947761,power=plant,5.666666666666667,1.0588235294117647,7.35,3.961735730711982,0.5390116640424466,6,0,1.0,1,4,wildfire
98,7,2025-12-03 08:06:00,2025-12-06 07:10:00,21.78954857142857,81.45858,23888.58465792364,landuse=industrial,1.0,7.0,5.368333333333333,1.6814804984497045,0.313222073601311,7,0,1.0,1,3,uncertain
99,12,2025-12-04 07:47:00,2026-05-22 08:21:00,21.31207333333333,82.11057166666667,19909.90115044474,landuse=industrial,5.633333333333334,2.130177514792899,9.89375,2.39954720431049,0.2425316188816667,12,0,1.0,1,5,wildfire
100,5,2025-12-04 07:47:00,2026-02-15 20:49:00,21.622452,81.739448,3569.854699745284,landuse=quarry,2.433333333333333,2.054794520547945,11.184,5.60701168181412,0.5013422462280149,4,1,0.8,2,2,uncertain
101,10,2025-12-04 07:47:00,2026-04-13 19:40:00,21.720596,81.467605,25445.4754425749,power=plant,4.333333333333333,2.307692307692308,12.835555555555556,6.85381665773004,0.5339711731264747,9,1,0.9,1,5,wildfire
102,5,2025-12-05 07:28:00,2026-05-25 07:24:00,18.509528,83.93715399999999,15174.570506496322,man_made=works,5.666666666666667,0.8823529411764706,4.723333333333334,1.2424921193579723,0.2630540831385968,5,0,1.0,1,5,wildfire
103,6,2025-11-03 07:27:00,2026-01-06 07:29:00,20.392931666666662,83.35375666666667,5120.133580919137,landuse=industrial,2.1333333333333333,2.8125,8.330666666666666,9.559966574684813,1.147563209189118,6,0,1.0,0,4,wildfire
104,6,2025-12-05 07:28:00,2026-01-06 07:29:00,20.78107333333333,83.89232166666666,565.8307849771077,power=plant,1.0666666666666669,5.625,10.878666666666668,7.199241211613104,0.6617760643105561,6,0,1.0,2,2,uncertain
105,5,2025-12-04 07:47:00,2025-12-07 06:51:00,21.02782,82.09317999999999,6137.184158323969,landuse=industrial,1.0,5.0,7.342,1.7435222969609532,0.2374723913049513,5,0,1.0,1,3,uncertain
106,6,2025-12-05 07:28:00,2026-01-06 07:29:00,21.15642833333333,83.50992666666666,223.73654092580628,landuse=industrial,1.0666666666666669,5.625,9.5,4.680724913331878,0.4927078856138819,6,0,1.0,3,2,uncertain
107,6,2025-12-05 07:28:00,2026-05-26 07:06:00,21.290043333333333,82.06807833333333,15973.71845269571,landuse=industrial,5.7,1.0526315789473684,7.790999999999999,1.867573886683529,0.2397091370406275,6,0,1.0,1,5,wildfire
108,5,2025-12-03 08:06:00,2026-05-26 07:06:00,21.481630000000003,81.63519,9813.583679240684,landuse=industrial,5.766666666666667,0.8670520231213873,12.276,11.08957303055442,0.9033539451412856,5,0,1.0,0,4,wildfire
109,21,2025-12-05 07:28:00,2026-05-26 07:06:00,21.74598523809524,82.97186095238095,10101.888699262863,landuse=quarry,5.7,3.684210526315789,6.787000000000001,1.8224589615864235,0.268522021745458,21,0,1.0,1,4,wildfire
110,7,2025-12-04 07:47:00,2026-04-13 07:12:00,21.71603571428572,81.38867285714286,24566.82858308346,power=plant,4.3,1.627906976744186,10.44,5.9660659447531135,0.5714622552445511,7,0,1.0,1,5,wildfire
111,6,2025-12-05 07:29:00,2026-02-24 07:11:00,21.929491666666667,82.25560333333333,6252.614228261837,landuse=quarry,2.6666666666666665,2.25,3.752,1.0745557221475304,0.2863954483335635,6,0,1.0,1,4,wildfire
112,8,2025-12-05 07:29:00,2025-12-14 08:00:00,21.9456,82.2478525,6826.417727341349,landuse=quarry,1.0,8.0,6.968333333333334,1.1983725074728089,0.1719740503429048,8,0,1.0,1,2,uncertain
113,7,2025-12-06 07:10:00,2025-12-07 08:31:00,20.97864714285714,82.02145285714286,6681.619494799751,landuse=industrial,1.0,7.0,6.633846153846154,5.198305073870293,0.7836035013951045,7,0,1.0,0,2,uncertain
