cluster_id,detection_count,first_seen,last_seen,centroid_lat,centroid_lon,nearest_industrial_distance_m,nearest_industrial_type,industrial_count_5km,months_active,recurrence_rate,frp_mean,frp_std,frp_cv,day_count,night_count,daynight_ratio
47,163,2025-11-03 19:56:00,2026-08-22 20:27:00,22.018233680981595,83.75468067484663,1576.0674072201302,landuse=quarry,1,9.733333333333333,16.746575342465754,1.720122699386503,1.0249396174506231,0.5958526201742335,4,159,0.024539877300613498
48,230,2025-09-05 20:02:00,2026-05-26 19:34:00,21.776756173913043,83.83016900000001,1082.61758697195,landuse=industrial,9,8.733333333333333,26.33587786259542,1.6354782608695653,0.8751980372057746,0.5351327854033606,4,226,0.017391304347826087
49,64,2025-09-05 20:02:00,2026-05-15 19:40:00,21.85925953125,83.96595828125,283.13638116888933,landuse=industrial,3,8.366666666666667,7.649402390438246,1.233125,0.4346933785248326,0.3525136369182626,0,64,0.0
50,26,2025-09-05 20:02:00,2026-03-16 20:05:00,24.01109692307692,80.52913346153846,98.52883075705743,landuse=quarry,1,6.4,4.0625,0.791923076923077,0.2591064527296722,0.3271863900423253,0,26,0.0
51,14,2025-09-05 20:03:00,2026-03-26 20:18:00,21.240142857142853,81.38542357142856,282.91672613103526,industrial=factory,11,6.733333333333333,2.07920792079208,0.7592857142857142,0.2765575273502167,0.3642338083634087,0,14,0.0
52,74,2025-09-06 19:43:00,2026-05-15 19:40:00,21.734110135135133,83.98107,634.5151755018087,landuse=quarry,1,8.333333333333334,8.879999999999999,1.161216216216216,0.5283444100431489,0.4549922767740373,0,74,0.0
53,58,2025-09-06 19:44:00,2026-05-12 20:37:00,21.214597931034483,82.13571103448277,13237.561298952744,landuse=industrial,0,8.266666666666667,7.016129032258064,1.045344827586207,0.4437765184257838,0.4245264401896002,0,58,0.0
54,13,2025-09-08 20:46:00,2026-04-22 20:12:00,21.543814615384616,81.94700538461538,292.3962598880361,landuse=industrial,5,7.5,1.7333333333333334,1.14,0.4699645376692444,0.4122495944467055,0,13,0.0
55,30,2025-09-08 20:46:00,2026-04-23 19:53:00,21.80176433333333,83.88370233333333,1348.0411852764269,landuse=quarry,7,7.533333333333333,3.982300884955752,1.4460000000000002,0.6238678020885183,0.431443846534245,0,30,0.0
56,72,2025-09-08 20:46:00,2026-05-23 20:31:00,22.155892638888886,82.09389069444444,3628.8311402434856,landuse=industrial,1,8.533333333333333,8.4375,0.8677777777777778,0.2615243624889923,0.3013725047888516,0,72,0.0
